abad                       century
abah                       direction
abang                      elder brother
acara                      events; program (schedule)
ada                        have, exist, is
adakah                     is there ?, any ...
adalah                     is, am, are
adik                       younger brother or sister
adikku                     sister
adil                       fair; just
agak                       guess; quite
agar                       in order that; so that;
agen                       agent
agung                      great, important, grand
ahli                       expert; member
air                        water, liquid
air bah                    flood
ais                        ice
ajar                       hermit
akal                       intellect; mind
akan                       shall; will; wood
akhir                      last, the end
akhirnya                   finally
akses                      access
aku                        I (informal)
akulah                     I am
alam                       nature
alamat                     address
alasan                     motivation; ground; excuse
alat                       tool; utensil; instrument
alih                       to move (transitive)
allah                      God
almari                     wardrobe, cupboard
am                         general
amah                       wet-nurse, maid servant
aman                       peaceful
amat                       very
ambil                      to take; to fetch, to get
amerika                    America
ampun                      forgiveness; mercy
anai-anai                  termite
anak                       child
anak laki-laki             son
anak perempuan             daughter
anakmu                     son
ancaman                    threat
anda                       you (unfamiliar, formal, polite)
aneh                       strange; odd
anggap                     consider
anggota                    member
anggur                     grapes
angin                      wind
angkasa                    space
angkat                     lift; raise up
angkut-angkut              small wasp, Potter wasp
angsa                      a goose
anjing                     dog
antara                     between, among
apa                        what
apa-apa                    whatever, any
apaan                      fuck
apakah                     whether, if
api                        fire, flame, light
arah                       direction
arahan                     instructions
artinya                    that is to say
asap                       smoke
asing                      (1) foreign, strange (2) separate
asli                       native
astaga                     oh my god
atap                       roof
atas                       above, on
atau                       or; either... or
aturan                     sequence (order)
awal                       early
awan                       cloud
awas                       beware; be careful; look out
ayah                       father
ayam                       chicken
ayam belanda               a turkey
ayo                        goodbye; come on!
ayolah                     c'mon
ayuh                       come on; let's go
babi                       pig
baca                       read
badai                      storm
badan                      body
bagaimana                  how?
bagaimanapun               however
bagi                       (1) divide, give (2) for, to
bagi pinjam                to lend
bagian                     part; portion; department
bagiku                     me
bagus                      good, fine, excellent
bahagia                    happy; blissful
bahagian                   part, section, portion
bahan                      material; ingredient
bahar                      the sea, the ocean, a big lake, a large river
baharu                     new, modern
bahasa                     language
bahasa cina                Chinese language
bahasa inggeris            English language
bahasa kebangsaan          national language
